delta	delta_high	alpha	Pizza Price	Pizza Amount	Fondue Price	Fondue Amount	Italian Wage	Swiss Hours Worked	Italian Wage	Swiss Hours Worked	Deviation
0.1	0.01	1	84.13	129.974	10.146	104.007	8.408	40.244	9.665	170.881	0.463278
0.1	0.01	1.5	80.084	129.275	15.082	108.541	8.532	48.711	9.641	163.292	0.463517
0.1	0.01	2	75.889	128.535	19.987	111.849	8.647	57.257	9.604	155.633	0.463633
0.1	0.01	2.5	71.577	127.747	24.867	114.464	8.757	65.822	9.558	147.899	0.463899
0.1	0.01	3	67.169	126.904	29.721	116.629	8.861	74.371	9.504	140.075	0.464206
0.1	0.01	3.5	62.679	125.997	34.547	118.478	8.959	82.865	9.443	132.165	0.464189
0.1	0.01	4	58.119	125.021	39.343	120.088	9.052	91.301	9.376	124.171	0.464490
0.1	0.01	4.5	53.498	123.959	44.104	121.516	9.141	99.654	9.303	116.085	0.464588
0.1	0.01	5	48.824	122.797	48.824	122.797	9.224	107.911	9.224	107.913	0.464458
0.1	0.01	5.5	44.103	121.516	53.498	123.958	9.303	116.083	9.141	99.651	0.464548
0.1	0.01	6	39.343	120.089	58.119	125.02	9.376	124.169	9.052	91.3	0.464630
0.1	0.01	6.5	34.548	118.475	62.679	125.999	9.443	132.169	8.959	82.864	0.464460
0.1	0.01	7	29.721	116.63	67.169	126.903	9.504	140.079	8.861	74.367	0.464295
0.1	0.01	7.5	24.867	114.464	71.577	127.747	9.558	147.898	8.757	65.825	0.463841
0.1	0.01	8	19.987	111.85	75.889	128.535	9.605	155.642	8.647	57.258	0.463705
0.1	0.01	8.5	15.082	108.541	80.084	129.276	9.641	163.292	8.532	48.712	0.463514
0.1	0.01	9	10.146	104.011	84.13	129.974	9.665	170.883	8.408	40.245	0.463337
0.1	0.02	1	85.528	127.895	10.325	101.806	8.653	58.008	9.597	155.041	0.463826
0.1	0.02	1.5	81.45	127.172	15.354	106.283	8.761	63.904	9.594	149.059	0.463828
0.1	0.02	2	77.213	126.405	20.354	109.561	8.861	69.925	9.58	143.06	0.464077
0.1	0.02	2.5	72.851	125.591	25.329	112.162	8.953	76.019	9.556	137.055	0.464074
0.1	0.02	3	68.384	124.724	30.278	114.318	9.04	82.141	9.524	131.032	0.464598
0.1	0.02	3.5	63.829	123.791	35.198	116.172	9.12	88.291	9.484	124.977	0.464455
0.1	0.02	4	59.197	122.792	40.086	117.79	9.194	94.449	9.438	118.904	0.464518
0.1	0.02	4.5	54.498	121.709	44.936	119.231	9.263	100.589	9.385	112.822	0.464473
0.1	0.02	5	49.742	120.527	49.742	120.53	9.327	106.713	9.327	106.714	0.464704
0.1	0.02	5.5	44.936	119.231	54.498	121.71	9.385	112.825	9.263	100.589	0.464510
0.1	0.02	6	40.086	117.791	59.197	122.792	9.438	118.912	9.194	94.448	0.464443
0.1	0.02	6.5	35.198	116.168	63.828	123.794	9.484	124.975	9.12	88.289	0.464574
0.1	0.02	7	30.277	114.323	68.385	124.721	9.523	131.031	9.04	82.143	0.464384
0.1	0.02	7.5	25.328	112.162	72.851	125.591	9.556	137.054	8.953	76.017	0.464077
0.1	0.02	8	20.354	109.558	77.213	126.406	9.58	143.064	8.861	69.924	0.464143
0.1	0.02	8.5	15.354	106.281	81.45	127.172	9.594	149.059	8.761	63.899	0.463825
0.1	0.02	9	10.325	101.807	85.529	127.896	9.597	155.055	8.653	58.005	0.463792
0.1	0.03	1	86.409	126.63	10.439	100.421	8.865	75.157	9.495	139.444	0.464318
0.1	0.03	1.5	82.313	125.885	15.527	104.867	8.958	78.686	9.514	135.118	0.464228
0.1	0.03	2	78.052	125.1	20.588	108.126	9.04	82.366	9.52	130.851	0.464335
0.1	0.03	2.5	73.659	124.266	25.624	110.718	9.115	86.149	9.517	126.623	0.464401
0.1	0.03	3	69.157	123.38	30.634	112.876	9.183	90.009	9.506	122.436	0.464497
0.1	0.03	3.5	64.562	122.43	35.614	114.734	9.244	93.934	9.488	118.27	0.464577
0.1	0.03	4	59.885	121.413	40.561	116.36	9.3	97.906	9.462	114.14	0.464625
0.1	0.03	4.5	55.138	120.316	45.469	117.809	9.349	101.914	9.431	110.036	0.464582
0.1	0.03	5	50.33	119.119	50.33	119.12	9.393	105.956	9.393	105.955	0.464550
0.1	0.03	5.5	45.469	117.809	55.138	120.316	9.431	110.036	9.349	101.919	0.464583
0.1	0.03	6	40.561	116.359	59.885	121.413	9.462	114.137	9.3	97.902	0.464484
0.1	0.03	6.5	35.614	114.734	64.562	122.43	9.488	118.272	9.244	93.934	0.464602
0.1	0.03	7	30.634	112.879	69.158	123.379	9.506	122.437	9.183	90.009	0.464332
0.1	0.03	7.5	25.624	110.721	73.66	124.265	9.517	126.628	9.115	86.143	0.464451
0.1	0.03	8	20.588	108.125	78.052	125.1	9.52	130.851	9.04	82.364	0.464342
0.1	0.03	8.5	15.527	104.865	82.313	125.885	9.514	135.121	8.958	78.686	0.464270
0.1	0.03	9	10.439	100.42	86.409	126.63	9.495	139.441	8.865	75.154	0.464296
0.1	0.04	1	86.905	125.93	10.503	99.653	9.054	91.773	9.369	123.793	0.464578
0.1	0.04	1.5	82.799	125.176	15.626	104.068	9.129	93.124	9.407	121.238	0.464626
0.1	0.04	2	78.525	124.377	20.721	107.32	9.194	94.621	9.434	118.782	0.464571
0.1	0.04	2.5	74.117	123.531	25.792	109.912	9.25	96.241	9.452	116.413	0.464525
0.1	0.04	3	69.595	122.633	30.836	112.071	9.299	97.952	9.461	114.113	0.464528
0.1	0.04	3.5	64.977	121.675	35.851	113.927	9.342	99.747	9.463	111.877	0.464542
0.1	0.04	4	60.275	120.648	40.832	115.559	9.377	101.614	9.459	109.708	0.464553
0.1	0.04	4.5	55.501	119.537	45.771	117.018	9.407	103.544	9.448	107.591	0.464648
0.1	0.04	5	50.664	118.334	50.663	118.335	9.43	105.537	9.43	105.537	0.464531
0.1	0.04	5.5	45.771	117.017	55.501	119.538	9.448	107.591	9.407	103.546	0.464538
0.1	0.04	6	40.832	115.559	60.275	120.647	9.459	109.706	9.377	101.612	0.464523
0.1	0.04	6.5	35.851	113.927	64.977	121.676	9.463	111.884	9.342	99.748	0.464573
0.1	0.04	7	30.836	112.071	69.595	122.633	9.461	114.111	9.299	97.953	0.464485
0.1	0.04	7.5	25.792	109.907	74.117	123.533	9.452	116.413	9.25	96.241	0.464645
0.1	0.04	8	20.721	107.322	78.526	124.377	9.434	118.78	9.194	94.628	0.464572
0.1	0.04	8.5	15.626	104.07	82.799	125.175	9.407	121.231	9.129	93.127	0.464571
0.1	0.04	9	10.503	99.651	86.905	125.93	9.369	123.787	9.054	91.777	0.464544
0.1	0.05	1	87.066	125.706	10.524	99.4	9.221	107.948	9.221	107.951	0.464669
0.1	0.05	1.5	82.957	124.947	15.658	103.81	9.278	107.276	9.279	107.278	0.464705
0.1	0.05	2	78.679	124.145	20.764	107.06	9.325	106.738	9.325	106.741	0.464653
0.1	0.05	2.5	74.265	123.296	25.846	109.648	9.362	106.311	9.362	106.31	0.464634
0.1	0.05	3	69.737	122.394	30.902	111.81	9.392	105.975	9.392	105.974	0.464578
0.1	0.05	3.5	65.112	121.431	35.928	113.667	9.414	105.719	9.414	105.718	0.464528
0.1	0.05	4	60.402	120.401	40.92	115.3	9.43	105.541	9.43	105.542	0.464602
0.1	0.05	4.5	55.62	119.287	45.87	116.762	9.439	105.436	9.439	105.438	0.464632
0.1	0.05	5	50.772	118.081	50.772	118.082	9.443	105.402	9.442	105.402	0.464551
0.1	0.05	5.5	45.87	116.759	55.619	119.289	9.439	105.437	9.439	105.437	0.464626
0.1	0.05	6	40.92	115.299	60.402	120.401	9.43	105.541	9.43	105.542	0.464629
0.1	0.05	6.5	35.928	113.667	65.112	121.432	9.414	105.721	9.414	105.72	0.464583
0.1	0.05	7	30.902	111.81	69.738	122.393	9.392	105.974	9.392	105.975	0.464565
0.1	0.05	7.5	25.846	109.649	74.265	123.296	9.362	106.312	9.362	106.307	0.464598
0.1	0.05	8	20.764	107.062	78.679	124.145	9.325	106.741	9.325	106.741	0.464636
0.1	0.05	8.5	15.658	103.813	82.957	124.947	9.278	107.273	9.278	107.279	0.464647
0.1	0.05	9	10.524	99.399	87.066	125.706	9.221	107.95	9.221	107.948	0.464684
0.15	0.015	1	73.395	149.868	9.314	106.34	7.752	42.546	9.026	183.94	0.076680
0.15	0.015	1.5	70.144	148.647	13.762	113.606	7.891	51.435	9.02	175.632	0.076750
0.15	0.015	2	66.706	147.351	18.158	119.01	8.021	60.512	8.997	167.245	0.077017
0.15	0.015	2.5	63.118	145.973	22.513	123.334	8.142	69.666	8.962	158.778	0.077132
0.15	0.015	3	59.407	144.504	26.827	126.953	8.256	78.857	8.915	150.232	0.077272
0.15	0.015	3.5	55.59	142.933	31.101	130.06	8.363	88.024	8.859	141.604	0.077369
0.15	0.015	4	51.681	141.24	35.329	132.79	8.463	97.15	8.795	132.878	0.077415
0.15	0.015	4.5	47.691	139.408	39.508	135.22	8.556	106.199	8.722	124.069	0.077422
0.15	0.015	5	43.631	137.413	43.631	137.411	8.643	115.175	8.643	115.172	0.077531
0.15	0.015	5.5	39.507	135.221	47.692	139.406	8.722	124.061	8.556	106.198	0.077470
0.15	0.015	6	35.329	132.79	51.681	141.24	8.795	132.878	8.462	97.151	0.077427
0.15	0.015	6.5	31.101	130.061	55.59	142.933	8.859	141.602	8.363	88.029	0.077343
0.15	0.015	7	26.828	126.948	59.407	144.506	8.915	150.236	8.256	78.854	0.077226
0.15	0.015	7.5	22.513	123.337	63.119	145.972	8.962	158.778	8.142	69.671	0.077101
0.15	0.015	8	18.158	119.011	66.706	147.35	8.997	167.241	8.021	60.511	0.076894
0.15	0.015	8.5	13.761	113.606	70.144	148.645	9.02	175.62	7.891	51.438	0.076840
0.15	0.015	9	9.314	106.336	73.395	149.87	9.026	183.945	7.752	42.548	0.076652
0.15	0.03	1	75.26	146.251	9.562	102.819	8.028	61.687	8.985	166.362	0.076932
0.15	0.03	1.5	71.979	144.986	14.14	109.919	8.155	67.717	9.003	159.705	0.077105
0.15	0.03	2	68.496	143.648	18.668	115.225	8.271	73.981	9.005	153.074	0.077128
0.15	0.03	2.5	64.849	142.234	23.156	119.478	8.376	80.383	8.993	146.452	0.077446
0.15	0.03	3	61.067	140.725	27.603	123.061	8.474	86.885	8.97	139.828	0.077379
0.15	0.03	3.5	57.167	139.117	32.006	126.151	8.563	93.449	8.937	133.201	0.077386
0.15	0.03	4	53.165	137.396	36.362	128.87	8.644	100.051	8.895	126.571	0.077540
0.15	0.03	4.5	49.074	135.535	40.664	131.308	8.719	106.667	8.844	119.931	0.077451
0.15	0.03	5	44.903	133.516	44.904	133.516	8.785	113.297	8.785	113.296	0.077411
0.15	0.03	5.5	40.663	131.308	49.074	135.535	8.844	119.932	8.719	106.667	0.077425
0.15	0.03	6	36.362	128.871	53.165	137.395	8.895	126.566	8.644	100.048	0.077531
0.15	0.03	6.5	32.006	126.149	57.167	139.117	8.937	133.194	8.563	93.451	0.077439
0.15	0.03	7	27.603	123.056	61.067	140.727	8.97	139.831	8.474	86.882	0.077447
0.15	0.03	7.5	23.156	119.478	64.849	142.232	8.993	146.445	8.376	80.382	0.077376
0.15	0.03	8	18.668	115.218	68.495	143.649	9.005	153.073	8.271	73.98	0.077273
0.15	0.03	8.5	14.139	109.925	71.979	144.985	9.003	159.706	8.155	67.722	0.077047
0.15	0.03	9	9.562	102.822	75.26	146.25	8.985	166.356	8.028	61.687	0.076987
0.15	0.045	1	76.442	144.06	9.721	100.631	8.262	80.089	8.901	149.274	0.077309
0.15	0.045	1.5	73.146	142.762	14.382	107.636	8.375	83.548	8.941	144.363	0.077358
0.15	0.045	2	69.637	141.395	18.996	112.874	8.474	87.245	8.965	139.566	0.077373
0.15	0.045	2.5	65.957	139.951	23.571	117.088	8.564	91.115	8.976	134.839	0.077520
0.15	0.045	3	62.132	138.415	28.103	120.648	8.643	95.129	8.975	130.175	0.077411
0.15	0.045	3.5	58.181	136.782	32.592	123.726	8.714	99.253	8.964	125.573	0.077512
0.15	0.045	4	54.121	135.032	37.03	126.451	8.777	103.463	8.944	121.027	0.077431
0.15	0.045	4.5	49.966	133.151	41.41	128.897	8.831	107.755	8.915	116.547	0.077490
0.15	0.045	5	45.725	131.115	45.725	131.116	8.877	112.114	8.877	112.115	0.077404
0.15	0.045	5.5	41.41	128.896	49.966	133.152	8.915	116.545	8.831	107.758	0.077451
0.15	0.045	6	37.03	126.45	54.121	135.034	8.944	121.032	8.777	103.465	0.077485
0.15	0.045	6.5	32.592	123.728	58.181	136.781	8.964	125.57	8.714	99.253	0.077471
0.15	0.045	7	28.103	120.651	62.132	138.413	8.975	130.175	8.643	95.124	0.077439
0.15	0.045	7.5	23.57	117.096	65.957	139.948	8.976	134.839	8.564	91.111	0.077494
0.15	0.045	8	18.996	112.874	69.637	141.393	8.965	139.56	8.475	87.236	0.077363
0.15	0.045	8.5	14.383	107.624	73.145	142.764	8.941	144.369	8.375	83.538	0.077402
0.15	0.045	9	9.72	100.641	76.442	144.06	8.901	149.272	8.262	80.098	0.077400
0.15	0.06	1	77.108	142.858	9.811	99.408	8.464	97.91	8.784	132.311	0.077558
0.15	0.06	1.5	73.805	141.54	14.521	106.354	8.561	99.003	8.844	129.263	0.077515
0.15	0.06	2	70.284	140.153	19.184	111.557	8.643	100.343	8.889	126.374	0.077504
0.15	0.06	2.5	66.586	138.69	23.807	115.759	8.715	101.861	8.921	123.632	0.077508
0.15	0.06	3	62.737	137.136	28.389	119.307	8.776	103.54	8.942	120.99	0.077443
0.15	0.06	3.5	58.759	135.488	32.926	122.379	8.828	105.348	8.953	118.463	0.077506
0.15	0.06	4	54.667	133.725	37.411	125.106	8.87	107.278	8.954	116.034	0.077487
0.15	0.06	4.5	50.475	131.83	41.836	127.556	8.904	109.316	8.946	113.693	0.077416
0.15	0.06	5	46.194	129.784	46.194	129.783	8.93	111.454	8.93	111.454	0.077441
0.15	0.06	5.5	41.836	127.556	50.475	131.83	8.946	113.695	8.904	109.314	0.077428
0.15	0.06	6	37.411	125.105	54.667	133.723	8.954	116.025	8.87	107.277	0.077425
0.15	0.06	6.5	32.926	122.382	58.759	135.487	8.953	118.463	8.828	105.349	0.077468
0.15	0.06	7	28.389	119.303	62.737	137.136	8.942	120.986	8.776	103.534	0.077436
0.15	0.06	7.5	23.807	115.759	66.586	138.689	8.921	123.626	8.715	101.864	0.077513
0.15	0.06	8	19.184	111.56	70.284	140.152	8.889	126.372	8.643	100.338	0.077452
0.15	0.06	8.5	14.52	106.358	73.806	141.539	8.844	129.262	8.561	99.003	0.077500
0.15	0.06	9	9.811	99.412	77.109	142.857	8.784	132.312	8.464	97.907	0.077533
0.15	0.075	1	77.325	142.47	9.84	99.016	8.637	115.246	8.637	115.251	0.077566
0.15	0.075	1.5	74.02	141.146	14.565	105.945	8.717	114.192	8.717	114.191	0.077523
0.15	0.075	2	70.495	139.754	19.245	111.135	8.781	113.348	8.781	113.348	0.077520
0.15	0.075	2.5	66.791	138.284	23.884	115.331	8.834	112.674	8.834	112.671	0.077495
0.15	0.075	3	62.935	136.725	28.482	118.873	8.875	112.141	8.875	112.139	0.077444
0.15	0.075	3.5	58.947	135.073	33.035	121.943	8.907	111.74	8.907	111.741	0.077531
0.15	0.075	4	54.845	133.301	37.535	124.674	8.929	111.462	8.929	111.46	0.077455
0.15	0.075	4.5	50.64	131.406	41.976	127.122	8.942	111.295	8.942	111.295	0.077464
0.15	0.075	5	46.347	129.355	46.347	129.356	8.947	111.242	8.947	111.24	0.077427
0.15	0.075	5.5	41.976	127.123	50.64	131.406	8.942	111.294	8.942	111.296	0.077464
0.15	0.075	6	37.535	124.674	54.845	133.302	8.929	111.461	8.929	111.463	0.077457
0.15	0.075	6.5	33.035	121.942	58.947	135.074	8.907	111.742	8.907	111.743	0.077569
0.15	0.075	7	28.482	118.873	62.935	136.726	8.875	112.141	8.875	112.144	0.077472
0.15	0.075	7.5	23.884	115.332	66.791	138.283	8.834	112.672	8.834	112.671	0.077470
0.15	0.075	8	19.245	111.134	70.495	139.755	8.781	113.35	8.781	113.349	0.077535
0.15	0.075	8.5	14.566	105.942	74.02	141.147	8.717	114.195	8.717	114.188	0.077529
0.15	0.075	9	9.84	99.014	77.325	142.471	8.637	115.247	8.637	115.248	0.077562
